,GameId,MinPlayers,MaxPlayers
767,223953,1,4
768,91514,2,5
769,202670,2,5
770,65244,2,4
771,301880,1,4
772,195137,2,5
773,41,2,4
774,37380,1,4
775,148319,2,4
776,65901,2,5
777,176165,2,4
778,30645,3,5
779,98229,3,6
780,13642,2,4
781,98351,2,5
782,27976,2,4
783,195560,2,5
784,206480,2,2
785,66356,1,5
786,108784,1,4
787,108906,2,7
788,491,3,5
789,191977,1,4
790,106217,2,5
791,172047,2,5
792,240,3,5
793,274638,2,2
794,239464,1,2
795,207243,1,4
796,160851,2,4
797,202408,3,5
798,1465,3,6
799,552,3,5
800,258210,1,2
801,298069,2,4
802,201921,1,4
803,180593,1,4
804,52461,1,4
805,904,2,5
806,8051,2,4
807,234477,2,5
808,227460,2,2
809,131260,2,5
810,216459,1,5
811,216600,1,5
812,169124,2,10
813,147151,4,12
814,266830,3,5
815,207830,2,5
816,2093,3,4
817,27588,2,5
818,284760,2,3
819,59946,1,5
820,244608,1,4
821,38054,2,5
822,204472,2,5
824,220517,2,5
825,218479,1,4
826,203427,2,5
827,218121,1,4
828,272738,2,4
829,95064,1,2
830,125678,2,5
831,171669,2,4
832,69779,2,2
833,158275,2,2
834,554,2,5
835,174570,1,5
836,193214,2,5
837,19600,2,6
838,214029,1,4
839,219215,4,10
840,180680,2,5
841,154086,2,4
842,939,2,4
843,56692,2,6
844,212402,2,4
845,161866,1,12
846,244114,2,4
847,283863,1,4
848,66505,2,5
849,165838,2,2
850,25669,2,4
851,224,3,6
852,131646,1,4
853,72225,1,5
854,72287,2,2
855,178336,2,4
856,200077,1,4
857,207691,2,4
858,238992,1,4
859,168917,2,2
860,182340,1,4
861,197405,2,2
862,85897,1,5
863,150999,2,4
864,204027,1,4
865,15817,3,5
866,275467,2,6
867,242804,2,4
868,156776,2,2
869,198740,2,6
870,104710,2,4
871,245643,2,4
872,235488,2,4
873,89409,2,4
874,104363,3,6
875,230080,2,4
876,157403,3,4
877,160018,2,2
878,66056,2,2
879,244331,2,4
880,210296,1,5
881,112,2,6
882,284742,1,4
883,185589,2,4
884,200954,2,4
885,222514,2,4
886,141517,2,5
887,1301,2,2
888,248065,1,6
889,157809,1,4
890,75449,2,4
891,1382,2,6
892,22825,2,4
893,45986,2,4
894,171233,2,5
895,283864,1,8
896,60,3,6
897,198454,4,10
898,1822,2,2
899,253284,2,4
900,136991,2,5
901,279613,1,6
902,8203,2,4
903,127518,1,4
904,199966,2,5
905,196526,1,1
906,217449,1,4
907,283393,1,4
908,130176,2,5
909,6830,3,5
910,191231,2,4
911,97903,2,4
912,55427,2,2
913,229892,3,5
914,25568,2,4
915,163154,1,4
916,177524,2,4
917,218509,2,5
918,40793,2,5
919,227515,2,4
920,254386,2,5
921,316377,2,5
923,35052,2,6
924,306040,1,4
925,195314,1,4
926,164949,2,4
927,823,2,5
928,135382,1,4
929,244654,2,4
930,67492,2,2
931,35497,2,6
932,122522,2,4
933,18100,3,5
934,551,2,2
935,197070,1,6
936,217861,2,5
937,23540,2,6
938,221,2,5
939,153065,2,5
940,159473,2,6
941,91536,2,4
942,21523,2,6
943,228504,2,4
944,194880,2,4
945,285984,1,4
946,152162,2,6
947,164265,4,4
948,142326,2,4
949,1608,1,1
950,71671,1,6
951,1634,1,4
952,229265,1,4
953,134352,6,30
954,218074,1,5
955,94246,2,5
956,68264,2,2
957,328871,1,4
958,5737,2,4
959,182694,2,7
960,207336,2,5
961,184151,2,2
962,156091,3,4
963,8045,3,6
964,183571,1,1
965,223750,1,5
966,137649,2,6
967,264052,1,4
968,17329,2,4
969,216092,1,6
970,175324,2,2
971,95103,1,8
972,145639,2,4
973,176544,2,4
974,161882,3,5
975,146312,2,4
976,124,3,4
977,27364,2,4
978,221318,2,5
979,24068,4,8
980,16992,2,8
981,290359,2,2
982,183880,2,4
983,833,2,2
984,121410,2,4
985,187377,2,4
986,191300,2,5
987,44163,2,5
988,17396,2,2
989,175199,2,5
990,242684,2,4
991,327,2,4
992,329465,2,4
994,37836,2,2
995,247236,1,2
996,34084,3,5
997,104020,2,5
998,37628,2,3
999,151007,1,4
1000,300877,1,5
1001,681,2,2
1002,272739,1,4
1003,208024,1,6
1004,300300,1,4
1005,163642,2,4
1006,195162,1,4
1007,91080,1,4
1008,256999,1,6
1009,176371,1,4
1010,284818,2,5
1011,230933,2,4
1012,154246,2,4
1013,140933,2,4
1014,8989,2,4
1015,278,2,2
1016,181796,2,5
1017,121297,2,4
1018,234669,1,6
1019,50768,2,4
1020,244049,2,4
