,id,title,year
0,174430,gloomhaven,2017
1,161936,pandemic_legacy_season_1,2015
2,224517,brass_birmingham,2018
3,167791,terraforming_mars,2016
4,291457,gloomhaven_jaws_lion,2020
5,233078,twilight_imperium_fourth_edition,2017
6,220308,gaia_project,2017
7,187645,star_wars_rebellion,2016
8,182028,through_ages_new_story_civilization,2015
9,193738,great_western_trail,2016
10,162886,spirit_island,2017
11,115746,war_ring_second_edition,2012
12,12333,twilight_struggle,2005
13,169786,scythe,2016
14,84876,castles_burgundy,2011
15,173346,7_wonders_duel,2015
16,120677,terra_mystica,2012
17,124361,concordia,2013
18,28720,brass_lancashire,2007
19,266192,wingspan,2019
20,167355,nemesis,2018
21,177736,feast_odin,2016
22,205637,arkham_horror_card_game,2016
23,183394,viticulture_essential_edition,2015
24,164928,orleans,2014
25,96848,mage_knight_board_game,2011
26,237182,root,2018
27,199792,everdell,2018
28,3076,puerto_rico,2002
29,102794,caverna_cave_farmers,2013
30,175914,food_chain_magnate,2015
31,31260,agricola,2007
32,170216,blood_rage,2015
33,316554,dune_imperium,2020
34,205059,mansions_madness_second_edition,2016
35,221107,pandemic_legacy_season_2,2017
36,276025,maracaibo,2019
37,285774,marvel_champions_card_game,2019
38,180263,7th_continent,2017
39,192135,too_many_bones,2017
40,284083,crew_quest_planet_nine,2019
41,266507,clank_legacy_acquisitions_incorporated,2019
42,247763,underwater_cities,2018
43,55690,kingdom_death_monster,2015
44,126163,tzolk_mayan_calendar,2012
45,2651,power_grid,2004
46,185343,anachrony,2017
47,209010,mechs_vs_minions,2016
48,251247,barrage,2019
49,216132,clans_caledonia,2017
50,164153,star_wars_imperial_assault,2014
51,35677,le_havre,2008
52,312484,lost_ruins_arnak,2020
53,230802,azul,2017
54,184267,mars,2020
55,72125,eclipse,2011
56,25613,through_ages_story_civilization,2006
57,125153,gallerist,2015
58,256960,pax_pamir_second_edition,2019
59,124742,android_netrunner,2012
60,191189,aeons_end,2016
61,161533,lisboa,2017
62,121921,robinson_crusoe_adventures_cursed_island,2012
63,246900,eclipse_second_dawn_galaxy,2020
64,244521,quacks_quedlinburg,2018
65,521,crokinole,1876
66,159675,fields_arle,2014
67,171623,voyages_marco_polo,2015
68,28143,race_galaxy,2007
69,266810,paladins_west_kingdom,2019
70,229853,teotihuacan_city_gods,2018
71,201808,clank_deck_building_adventure,2016
72,68448,7_wonders,2010
73,157354,five_tribes,2014
74,62219,dominant_species,2010
75,110327,lords_waterdeep,2012
76,200680,agricola_revised_edition,2016
77,122515,keyflower,2012
78,264220,tainted_grail_fall_avalon,2019
79,236457,architects_west_kingdom,2018
80,182874,grand_austria_hotel,2015
81,18602,caylus,2005
82,93,el_grande,1995
83,12493,twilight_imperium_third_edition,2005
84,37111,battlestar_galactica_board_game,2008
85,146021,eldritch_horror,2013
86,73439,troyes,2010
87,172386,mombasa,2015
88,40834,dominion_intrigue,2009
89,205896,rising_sun,2018
90,269385,lord_rings_journeys_middle_earth,2019
91,170042,raiders_north_sea,2015
92,163412,patchwork,2014
93,144733,russian_railroads,2013
94,42,tigris_euphrates,1997
95,203993,lorenzo_il_magnifico,2016
96,281259,isle_cats,2019
97,178900,codenames,2015
98,102680,trajan,2011
99,132531,roll_galaxy,2014
100,225694,decrypto,2018
101,36218,dominion,2008
102,2511,sherlock_holmes_consulting_detective_thames_murder,1982
103,30549,pandemic,2008
104,155821,inis,2016
105,198928,pandemic_iberia,2016
106,172287,champions_midgard,2015
107,196340,yokohama,2016
108,233371,clank_space_deck_building_adventure,2017
109,127023,kemet,2012
110,175155,forbidden_stars,2015
111,266524,parks,2019
112,175640,vinhos_deluxe_edition,2016
113,263918,cartographers,2019
114,161970,alchemists,2014
115,146652,legendary_encounters_alien_deck_building_game,2014
116,218417,aeons_end_war_eternal,2017
117,103885,star_wars_x_wing_miniatures_game,2012
118,34635,stone_age,2008
119,233398,endeavor_age_sail,2018
120,262712,res_arcana,2019
121,147020,star_realms,2014
122,4098,age_steam,2002
123,163068,trickerion_legends_illusion,2015
124,118048,targi,2012
125,104162,descent_journeys_dark_second_edition,2012
126,14996,ticket_ride_europe,2005
127,148949,istanbul,2014
128,233867,welcome,2018
129,314040,pandemic_legacy_season_0,2020
130,43111,chaos_old_world,2009
131,150376,dead_winter_crossroads_game,2014
132,271324,its_wonderful_world,2019
133,274364,watergate,2019
134,9609,war_ring,2004
135,43015,hansa_teutonica,2009
136,244522,s_pretty_clever,2018
137,77423,lord_rings_card_game,2011
138,253344,cthulhu_death_may_die,2019
139,287954,azul_summer_pavilion,2019
140,54043,jaipur,2009
141,17133,railways_world,2005
142,128882,resistance_avalon,2012
143,221194,dinosaur_island,2017
144,82222,xia_legends_drift_system,2014
145,103343,game_thrones_board_game_second_edition,2011
146,155426,castles_mad_king_ludwig,2014
147,10630,memoir_44,2004
148,70149,ora_et_labora,2011
149,220877,rajas_ganges,2017
150,188920,war_mine_board_game,2017
151,217372,quest_el_dorado,2017
152,39463,cosmic_encounter,2008
